author,label,name,num,process,university
,任何基础适用,,,,
,任何基础适用,,,,
,任何基础适用,,,,
,任何基础适用,,,,
郭炜,国家精品,程序设计与算法（二）算法基础,4764,进行至第1周,北京大学
翁恺,,面向对象程序设计——Java语言,6631,进行至第1周,浙江大学
翁恺,,C语言程序设计进阶,8908,进行至第1周,浙江大学
陈来荣,,MATLAB科学计算与工程应用,680,进行至第1周,北京林业大学
郭炜,国家精品,程序设计与算法（三）C++面向对象程序设计,3226,,北京大学
王浩然,,计算系统基础,4768,进行至第2周,南京大学
赖晓晨,,嵌入式软件设计,2591,进行至第2周,大连理工大学
陈越,国家精品,数据结构,79099,进行至第8周,浙江大学
林迪,,大数据计算技术,3458,进行至第2周,电子科技大学
嵩天,国家精品,Python语言程序设计,232149,进行至第9周,北京理工大学
张伟利,,Office高级应用,66496,进行至第9周,成都信息工程大学
嵩天,国家精品,Python数据分析与展示,15774,进行至第3周,北京理工大学
战德臣,大学先修课,大学计算机—计算思维导论CAP,959,,哈尔滨工业大学
林宇,,人工智能产业应用前沿,3573,进行至第3周,文安智能
黄天羽,国家精品,Python科学计算三维可视化,5553,进行至第4周,北京理工大学
翁恺,国家精品,程序设计入门——C语言,184710,进行至第10周,浙江大学
